#1                   																			
double wetter (8760, 20)																			
475200	13	1	1	6	13	7	270	6	7.9	981.5	5.5	81	21	22	121	9	322	-352	9
478800	13	1	1	6	14	7	290	5	8.2	982.1	5.4	79	21	16	97	9	309	-352	9
482400	13	1	1	6	15	7	280	7	7.4	983.1	5	77	21	8	55	9	282	-346	9
486000	13	1	1	6	16	7	280	5	6.5	984.1	4.8	79	21	1	6	9	289	-343	9
489600	13	1	1	6	17	7	280	5	5.8	985.1	4.5	77	21	0	0	9	285	-339	9
493200	13	1	1	6	18	7	270	4	3.4	985.9	4.2	85	0	0	0	9	276	-328	9
496800	13	1	1	6	19	7	270	2	4.4	986.5	4.6	87	3	0	0	9	293	-333	9
500400	13	1	1	6	20	7	240	2	5	987	4.5	83	0	0	0	9	296	-336	9
504000	13	1	1	6	21	4	20	0	4.2	987.5	4.5	86	0	0	0	9	264	-331	9
507600	13	1	1	6	22	2	260	1	3	987	4.3	90	0	0	0	9	250	-324	9
511200	13	1	1	6	23	1	290	1	1.1	987.1	3.8	91	0	0	0	9	239	-315	9
514800	13	1	1	6	24	0	310	1	0.3	986.9	3.7	94	0	0	0	9	235	-311	9
518400	13	1	1	7	1	0	100	0	-0.2	986.9	3.6	94	11	0	0	9	232	-309	9
522000	13	1	1	7	2	0	70	1	0.4	986.6	3.8	96	10	0	0	9	235	-312	9
525600	13	1	1	7	3	0	30	0	-1	986.5	3.4	94	10	0	0	9	228	-305	9
529200	13	1	1	7	4	1	280	0	-1.1	986.4	3.4	96	46	0	0	9	228	-305	9
532800	13	1	1	7	5	0	110	0	0.4	986	3.8	96	28	0	0	9	235	-312	9
536400	13	1	1	7	6	0	60	0	-0.2	985.7	3.6	96	2	0	0	9	232	-309	9
540000	13	1	1	7	7	1	90	0	-0.1	985.7	3.6	95	-1	0	0	9	233	-309	9
543600	13	1	1	7	8	3	310	0	-0.8	985.8	3.4	93	-1	0	0	9	232	-306	9
547200	13	1	1	7	9	4	80	1	-0.5	985.7	3.5	95	-1	15	42	9	234	-308	9
550800	13	1	1	7	10	5	130	0	1.3	986.1	4	95	-1	36	106	9	246	-316	9
554400	13	1	1	7	11	7	180	1	4.3	986.2	4.3	83	-1	20	112	9	269	-331	9
558000	13	1	1	7	12	7	200	2	5.3	984.8	4.4	77	-1	23	127	9	274	-336	9
561600	13	1	1	7	13	7	240	3	6.7	984.3	4.4	71	-1	22	122	9	280	-343	9
565200	13	1	1	7	14	7	260	1	8.3	983.6	4.2	61	-1	16	98	9	288	-351	9
568800	13	1	1	7	15	7	190	1	9.6	983.2	4.5	59	-1	8	56	9	295	-358	9
572400	13	1	1	7	16	7	180	0	8.3	982.9	4.4	63	-1	1	6	9	288	-351	9
576000	13	1	1	7	17	7	260	1	5.4	982.8	4	71	-1	0	0	9	274	-337	9
579600	13	1	1	7	18	7	80	0	2.5	983.1	3.9	84	0	0	0	9	250	-322	9
583200	13	1	1	7	19	7	310	1	0.3	983.1	3.4	86	0	0	0	9	239	-312	9
586800	13	1	1	7	20	5	310	1	-0.3	983.3	3.4	90	0	0	0	9	236	-309	9
590400	13	1	1	7	21	5	60	0	-0.3	983	3.5	92	0	0	0	9	236	-309	9
594000	13	1	1	7	22	5	260	0	-1	982.6	3.4	94	0	0	0	9	232	-306	9
597600	13	1	1	7	23	2	310	0	-1.4	982.1	3.3	94	0	0	0	9	227	-304	9
601200	13	1	1	7	24	2	120	1	-1.8	981.2	3.2	94	0	0	0	9	225	-302	9
604800	13	1	1	8	1	2	80	2	-1.4	980.5	3.3	96	10	0	0	9	227	-304	9
608400	13	1	1	8	2	2	110	0	-1.6	979.8	3.1	90	0	0	0	9	226	-303	9
612000	13	1	1	8	3	2	80	0	-1.4	979.3	3.3	94	10	0	0	9	227	-304	9
615600	13	1	1	8	4	0	100	1	-2.3	978.9	3.1	95	10	0	0	9	222	-299	9
619200	13	1	1	8	5	0	100	1	-2.5	978.5	3.1	95	10	0	0	9	221	-298	9
622800	13	1	1	8	6	0	130	1	-2.6	978.2	3.1	96	10	0	0	9	220	-298	9
626400	13	1	1	8	7	0	100	2	-2.5	977.6	3.1	96	10	0	0	9	221	-298	9
630000	13	1	1	8	8	0	90	1	-2.8	977	3	95	10	0	0	9	219	-297	9
633600	13	1	1	8	9	0	90	2	-2.7	976.9	3	95	-1	30	32	9	220	-298	9
637200	13	1	1	8	10	0	90	2	-1	976.8	3.5	96	-1	98	73	9	228	-305	9
640800	13	1	1	8	11	0	150	0	2.9	976.8	3.9	81	-1	158	91	9	248	-324	9
644400	13	1	1	8	12	0	70	1	4.5	976.2	3.9	72	-1	188	97	9	257	-331	9
648000	13	1	1	8	13	0	110	1	7.7	974.9	4.2	62	-1	179	96	9	276	-347	9
651600	13	1	1	8	14	0	90	2	7.6	974.2	4.7	71	-1	133	85	9	275	-347	9
655200	13	1	1	8	15	0	270	0	11.2	974	4.5	53	-1	66	58	9	297	-366	9
658800	13	1	1	8	16	0	90	1	10.2	974	4.6	58	-1	8	8	9	291	-360	9
662400	13	1	1	8	17	1	150	1	7	974.1	3.6	57	-1	0	0	9	272	-344	9
